Province,Year,PM10
Gyeongsangbuk-do,2012,45.2
Gyeongsangbuk-do,2013,50.1
Gyeongsangbuk-do,2014,48.8
Gyeongsangbuk-do,2015,44.6
Gyeongsangbuk-do,2016,39.9
Gyeongsangbuk-do,2017,39.8
Gyeongsangbuk-do,2018,43.8
Gyeongsangbuk-do,2019,41.1
Gyeongsangbuk-do,2020,35.2
Gyeongsangnam-do,2011,45.3
Gyeongsangnam-do,2012,42.1
Gyeongsangnam-do,2013,47.4
Gyeongsangnam-do,2014,47.7
Gyeongsangnam-do,2015,45.6
Gyeongsangnam-do,2016,44.7
Gyeongsangnam-do,2017,42.6
Gyeongsangnam-do,2018,41.5
Gyeongsangnam-do,2019,38.5
Gyeongsangnam-do,2020,31.4
Jeju-do,2011,42.2
Jeju-do,2012,33.9
Jeju-do,2013,40.3
Jeju-do,2014,46.6
Jeju-do,2015,44.2
Jeju-do,2016,41.2
Jeju-do,2017,36.8
Jeju-do,2018,35.0
Jeju-do,2019,35.0
Jeju-do,2020,35.4
WHO Guideline Level,2011,20
WHO Guideline Level,2012,20
WHO Guideline Level,2013,20
WHO Guideline Level,2014,20
WHO Guideline Level,2015,20
WHO Guideline Level,2016,20
WHO Guideline Level,2017,20
WHO Guideline Level,2018,20
WHO Guideline Level,2019,20
WHO Guideline Level,2020,20
USA/South Korea Guideline Level,2011,50
USA/South Korea Guideline Level,2012,50
USA/South Korea Guideline Level,2013,50
USA/South Korea Guideline Level,2014,50
USA/South Korea Guideline Level,2015,50
USA/South Korea Guideline Level,2016,50
USA/South Korea Guideline Level,2017,50
USA/South Korea Guideline Level,2018,50
USA/South Korea Guideline Level,2019,50
USA/South Korea Guideline Level,2020,50
